Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,latitude,longitude
"Charlton station, London, UK",Greenwich,Southeastern,CTN,3,1849,D, _51.4868 ,0.0310
"Cheam station, London, UK",Sutton,Southern,CHE,5,1844,D, _51.3560 ,-0.2147
"Chelsfield station, London, UK",Bromley,Southeastern,CLD,6,1868,D, _51.3565 ,0.1076
"Cheshunt station, London, UK",Broxbourneout-boundary,Greater Anglia,CHN,8,1846,C, _51.7039 ,-0.0221
"Chessington North station, London, UK",Kingston upon Thames,South Western Railway,CSN,6,1939,D, _51.3642 ,-0.3005
"Chessington South station, London, UK",Kingston upon Thames,South Western Railway,CSS,6,1939,E, _51.3569 ,-0.3080
"Chingford station, London, UK",Waltham Forest,London Overground,CHI,5,1873,C, _51.6331 ,0.0094
"Chipstead station, London, UK",Reigate and Bansteadout-boundary,Southern,CHP,6,1899,E, _51.3093 ,-0.1693
"Chislehurst station, London, UK",Bromley,Southeastern,CIT,5,1865,D, _51.4057 ,0.0573
"Chiswick station, London, UK",Hounslow,South Western Railway,CHK,3,1849,E, _51.4813 ,-0.2683
"Chorleywood station, London, UK",Three Riversout-boundary,London Underground,CLW,7,1889,unlisted, _51.6541 ,-0.5183
"City ThameslinkLondon station, London, UK",City of London,Thameslink,CTK,1,1990,C, _51.5163 ,-0.1037
"Clapham High Street station, London, UK",Lambeth,London Overground,CLP,2,1866,F, _51.4658 ,-0.1328
"Clapham Junction station, London, UK",Wandsworth,South Western Railway,CLJ,2,1863,B, _51.4644 ,-0.1703
"Clapton station, London, UK",Hackney,London Overground,CPT,02-Mar,1873,D, _51.5617 ,-0.0571
"Clock House station, London, UK",Bromley,Southeastern,CLK,4,1864,D, _51.4088 ,-0.0411
"Coulsdon South station, London, UK",Croydon,Southern,CDS,6,1889,D, _51.3157 ,-0.1380
"Coulsdon Town station, London, UK",Croydon,Southern,CDN,6,1904,E, _51.3219 ,-0.1340
"Crayford station, London, UK",Bexley,Southeastern,CRY,6,1866,D, _51.4483 ,0.1786
"Crews Hill station, London, UK",Enfield,Great Northern,CWH,6,1910,F, _51.6845 ,-0.1072
"Cricklewood station, London, UK",Barnet,Thameslink,CRI,3,1868,E, _51.5586 ,-0.2129
"Crofton Park station, London, UK",Lewisham,Southeastern,CFT,3,1892,E, _51.4550 ,-0.0367
"Crouch Hill station, London, UK",Islington,London Overground,CRH,3,1868,E, _51.5720 ,-0.1171
"Crystal Palace station, London, UK",Bromley,London Overground,CYP,03-Apr,1854,D, _51.4182 ,-0.0726
"Custom House station, London, UK",Newham,Elizabeth line,CUS,2,2022,unlisted, _51.509639 ,0.0259
"Dagenham Dock station, London, UK",Barking and Dagenham,c2c,DDK,5,1908,E, _51.5268 ,0.1450
"Dalston Junction station, London, UK",Hackney,London Overground,DLJ,2,2010c,unlisted, _51.5453 ,-0.0747
"Dalston Kingsland station, London, UK",Hackney,London Overground,DLK,2,1983,D, _51.5482 ,-0.0763
"Dartford station, London, UK",Dartfordout-boundary,Southeastern,DFD,8,1849,C, _51.4475 ,0.2193
"Denmark Hill station, London, UK",Southwark,Thameslink,DMK,2,1866,D, _51.4683 ,-0.0894
"Deptford station, London, UK",Lewisham,Southeastern,DEP,2,1836,E, _51.4788 ,-0.0265
"Drayton Green station, London, UK",Ealing,Great Western Railway,DRG,4,1905,F, _51.5165 ,-0.3300
"Drayton Park station, London, UK",Islington,Great Northern,DYP,2,1904,E, _51.5528 ,-0.1055
"Ealing Broadway station, London, UK",Ealing,Elizabeth line,EAL,3,1838,C, _51.5147 ,-0.3017
"Earlsfield station, London, UK",Wandsworth,South Western Railway,EAD,3,1884,D, _51.4424 ,-0.1877
"East Croydon station, London, UK",Croydon,Southern,ECR,5,1841,B, _51.3753 ,-0.0930
"East Dulwich station, London, UK",Southwark,Southern,EDW,2,1868,E, _51.4616 ,-0.0804
"Eden Park station, London, UK",Bromley,Southeastern,EDN,5,1882,E, _51.3900 ,-0.0262
"Edmonton Green station, London, UK",Enfield,London Overground,EDR,4,1872,C, _51.6242 ,-0.0614
"Elephant & Castle station, London, UK",Southwark,Thameslink,EPH,01-Feb,1862,E, _51.4938 ,-0.0986
"Elmers End station, London, UK",Bromley,Southeastern,ELE,4,1864,D, _51.3981 ,-0.0496
"Elmstead Woods station, London, UK",Bromley,Southeastern,ESD,4,1904,D, _51.4168 ,0.0441
"Elstree & Borehamwood station, London, UK",Hertsmereout-boundary,Thameslink,ELS,6,1868,E, _51.6531 ,-0.2802
"Eltham station, London, UK",Greenwich,Southeastern,ELW,4,1895,C, _51.4555 ,0.0515
"Emerson Park station, London, UK",Havering,London Overground,EMP,6,1909,F, _51.5687 ,0.2204
"Enfield Chase station, London, UK",Enfield,Great Northern,ENC,5,1910,D, _51.6529 ,-0.0908
"Enfield Lock station, London, UK",Enfield,Greater Anglia,ENL,6,1855,E, _51.6709 ,-0.0284
"Enfield Town station, London, UK",Enfield,London Overground,ENF,5,1849,C, _51.6516 ,-0.0792
"Epsom Downs station, London, UK",Epsom and Ewellout-boundary,Southern,EPD,6,1865,F, _51.3237 ,-0.2389
"Erith station, London, UK",Bexley,Southeastern,ERH,6,1849,E, _51.4816 ,0.1754
"Essex Road station, London, UK",Islington,Great Northern,EXR,2,1904,E, _51.5406 ,-0.0963
"EustonLondon station, London, UK",Camden,Network Rail,EUS,1,1837,A, _51.5287 ,-0.1345
"Ewell East station, London, UK",Epsom and Ewellout-boundary,Southern,EWE,6,1847,E, _51.3451 ,-0.2419
"Ewell West station, London, UK",Epsom and Ewellout-boundary,South Western Railway,EWW,6,1859,C, _51.3502 ,-0.2569
"Falconwood station, London, UK",Bexley,Southeastern,FCN,4,1936,D, _51.4592 ,0.0799
"Farringdon station, London, UK",Islington,London Underground,ZFD,1,1863,E, _51.5206 ,-0.1053
"Feltham station, London, UK",Hounslow,South Western Railway,FEL,6,1848,C, _51.4481 ,-0.4088
"Fenchurch StreetLondon station, London, UK",City of London,c2c,FST,1,1841,A, _51.5114 ,-0.0783
"Finchley Road & Frognal station, London, UK",Camden,London Overground,FNY,2,1860,E, _51.5499 ,-0.1837
"Finsbury Park station, London, UK",Islington,Great Northern,FPK,2,1861,C, _51.564653 ,-0.1064
"Forest Gate station, London, UK",Newham,Elizabeth line,FOG,3,1839,C, _51.5494 ,0.0242
"Forest Hill station, London, UK",Lewisham,London Overground,FOH,3,1839,C, _51.4393 ,-0.0533
"Fulwell station, London, UK",Richmond upon Thames,South Western Railway,FLW,6,1864,E, _51.4334 ,-0.3508
"Gidea Park station, London, UK",Havering,Elizabeth line,GDP,6,1910,C, _51.5820 ,0.2063
