Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,latitude,longitude
"Seven Kings station, London, UK",Redbridge,Elizabeth line,SVK,4,1899,C, _51.5635 ,0.0969
"Seven Sisters station, London, UK",Haringey,London Overground,SVS,3,1872,D, _51.5839 ,-0.0756
"Shadwell station, London, UK",Tower Hamlets,London Overground,SDE,2,1876,unlisted, _51.5112 ,-0.0569
"Shenfield station, London, UK",Brentwoodout-boundary,Greater Anglia,SNF,B,1843,B, _51.6331 ,0.3328
"Shepherd's Bush station, London, UK",Hammersmith and Fulham,London Overground,SPB,2,2008,D, _51.5051 ,-0.2175
"Shoreditch High Street station, London, UK",Hackney,London Overground,SDC,1,2010,unlisted, _51.5234 ,-0.0768
"Shortlands station, London, UK",Bromley,Southeastern,SRT,4,1858,D, _51.4058 ,0.0019
"Sidcup station, London, UK",Bexley,Southeastern,SID,5,1866,C, _51.4338 ,0.1040
"Silver Street station, London, UK",Enfield,London Overground,SLV,4,1872,D, _51.6149 ,-0.0676
"Slade Green station, London, UK",Bexley,Southeastern,SGR,6,1866,E, _51.4678 ,0.1904
"South Acton station, London, UK",Ealing,London Overground,SAT,3,1880,E, _51.4994 ,-0.2707
"Southall station, London, UK",Ealing,Elizabeth line,STL,4,1839,D, _51.5060 ,-0.3783
"South Bermondsey station, London, UK",Southwark,Southern,SBM,2,1866,E, _51.4887 ,-0.0548
"Southbury station, London, UK",Enfield,London Overground,SBU,5,1891,E, _51.6488 ,-0.0524
"South Croydon station, London, UK",Croydon,Southern,SCY,5,1865,D, _51.3629 ,-0.0933
"South Greenford station, London, UK",Ealing,Great Western Railway,SGN,4,1903,F, _51.5342 ,-0.3369
"South Hampstead station, London, UK",Camden,London Overground,SOH,2,1879,E, _51.5414 ,-0.1788
"South Kenton station, London, UK",Brent,London Underground,SOK,4,1933,E, _51.5703 ,-0.3086
"South Merton station, London, UK",Merton,Thameslink,SMO,4,1930,F, _51.4030 ,-0.2062
"South Ruislip station, London, UK",Hillingdon,Chiltern Railways,SRU,5,1908,F, _51.5569 ,-0.3988
"South Tottenham station, London, UK",Haringey,London Overground,STO,3,1871,E, _51.5802 ,-0.0720
"Stamford Hill station, London, UK",Haringey,London Overground,SMH,3,1872,E, _51.5749 ,-0.0761
"Stoke Newington station, London, UK",Hackney,London Overground,SKW,2,1872,E, _51.5651 ,-0.0727
"Stonebridge Park station, London, UK",Brent,London Underground,SBP,3,1912,D, _51.5440 ,-0.2754
"Stoneleigh station, London, UK",Epsom and Ewellout-boundary,South Western Railway,SNL,5,1932,C, _51.3637 ,-0.2487
"Stratford station, London, UK",Newham,Elizabeth line,SRA,3,1839,B, _51.5417 ,-0.0037
"Stratford International station, London, UK",Newham,Southeastern,SFA,3,2009,unlisted, _51.5448 ,-0.0087
"Strawberry Hill station, London, UK",Richmond upon Thames,South Western Railway,STW,5,1873,C, _51.4389 ,-0.3388
"Streatham station, London, UK",Lambeth,Southern,STE,3,1856,D, _51.4260 ,-0.1311
"Streatham Common station, London, UK",Lambeth,Southern,SRC,3,1862,C, _51.4187 ,-0.1359
"Streatham Hill station, London, UK",Lambeth,Southern,SRH,3,1856,C, _51.4380 ,-0.1271
"Sudbury & Harrow Road station, London, UK",Brent,Chiltern Railways,SUD,4,1910,F, _51.5540 ,-0.3167
"Sudbury Hill Harrow station, London, UK",Harrow,Chiltern Railways,SDH,4,1910,F, _51.5589 ,-0.3358
"Sundridge Park station, London, UK",Bromley,Southeastern,SUP,4,1878,E, _51.4137 ,0.0221
"Surbiton station, London, UK",Kingston upon Thames,South Western Railway,SUR,6,1838,B, _51.3926 ,-0.3044
"Surrey Quays station, London, UK",Southwark,London Overground,SQE,2,1884,unlisted, _51.4933 ,-0.0477
"Sutton station, London, UK",Sutton,Southern,SUO,5,1847,C, _51.3601 ,-0.1903
"Sutton Common station, London, UK",Sutton,Thameslink,SUC,4,1930,F, _51.3751 ,-0.1964
"Swanley station, London, UK",Sevenoaksout-boundary,Southeastern,SAY,8,1862,C, _51.3934 ,0.1690
"Sydenham station, London, UK",Lewisham,London Overground,SYD,3,1839,D, _51.4268 ,-0.0545
"Sydenham Hill station, London, UK",Southwark,Southeastern,SYH,3,1862,E, _51.4326 ,-0.0802
"Syon Lane station, London, UK",Hounslow,South Western Railway,SYL,4,1925,F, _51.4818 ,-0.3248
"Tadworth station, London, UK",Reigate and Bansteadout-boundary,Southern,TAD,6,1900,E, _51.2920 ,-0.2360
"Tattenham Corner station, London, UK",Reigate and Bansteadout-boundary,Southern,TAT,6,1901,E, _51.3092 ,-0.2426
"Teddington station, London, UK",Richmond upon Thames,South Western Railway,TED,6,1864,C, _51.4247 ,-0.3325
"Thames Ditton station, London, UK",Elmbridgeout-boundary,South Western Railway,THD,6,1849,D, _51.3886 ,-0.3383
"Theobalds Grove station, London, UK",Broxbourneout-boundary,London Overground,TEO,7,1891,D, _51.6937 ,-0.0327
"Thornton Heath station, London, UK",Croydon,Southern,TTH,4,1862,C, _51.3985 ,-0.1004
"Tolworth station, London, UK",Kingston upon Thames,South Western Railway,TOL,5,1938,E, _51.3771 ,-0.2793
"Tooting station, London, UK",Merton,Thameslink,TOO,3,1868,E, _51.4196 ,-0.1603
"Tottenham Court Road station, London, UK",Camden,Elizabeth line,TCR,2,2022,unlisted, _51.5162 ,-0.1309
"Tottenham Hale station, London, UK",Haringey,Greater Anglia,TOM,3,1840,D, _51.5902 ,-0.0611
"Tulse Hill station, London, UK",Lambeth,Southern,TUH,3,1868,D, _51.4399 ,-0.1049
"Turkey Street station, London, UK",Enfield,London Overground,TUR,6,1891,E, _51.6725 ,-0.0474
"Twickenham station, London, UK",Richmond upon Thames,South Western Railway,TWI,5,1848,C, _51.4504 ,-0.3296
"Upminster station, London, UK",Havering,c2c,UPM,6,1885,C, _51.5588 ,0.2509
"Upper Holloway station, London, UK",Islington,London Overground,UHL,2,1868,E, _51.5638 ,-0.1298
"Upper Warlingham station, London, UK",Tandridgeout-boundary,Southern,UWL,6,1884,D, _51.3085 ,-0.0780
"VauxhallLondon station, London, UK",Lambeth,South Western Railway,VXH,01-Feb,1848,B, _51.4859 ,-0.1229
"VictoriaLondon station, London, UK",Westminster,Network Rail,VIC,1,1862,A, _51.4966 ,-0.1448
"Waddon station, London, UK",Croydon,Southern,WDO,5,1847,D, _51.3674 ,-0.1170
"Wallington station, London, UK",Sutton,Southern,WLT,5,1847,C, _51.3592 ,-0.1533
"Waltham Cross station, London, UK",Broxbourneout-boundary,Greater Anglia,WLC,7,1842,E, _51.6851 ,-0.0266
"Walthamstow Central station, London, UK",Waltham Forest,London Overground,WHC,3,1869,C, _51.5831 ,-0.0192
"Walthamstow Queen's Road station, London, UK",Waltham Forest,London Overground,WMW,3,1894,E, _51.5817 ,-0.0240
"Wandsworth Common station, London, UK",Wandsworth,Southern,WSW,3,1895,D, _51.4464 ,-0.1635
"Wandsworth Road station, London, UK",[[Lambeth]],London Overground,WWR,2,1863,F, _51.4702 ,-0.1390
"Wandsworth Town station, London, UK",Wandsworth,South Western Railway,WNT,2,1846,C, _51.4610 ,-0.1879
"Wanstead Park station, London, UK",Newham,London Overground,WNP,3,1894,E, _51.5518 ,0.0264
"Wapping station, London, UK",Tower Hamlets,London Overground,WPE,2,1869,unlisted, _51.5044 ,-0.0558
"WaterlooLondon station, London, UK",Lambeth,Network Rail,WAT,1,1848,A, _51.5031 ,-0.1132
"Waterloo EastLondon station, London, UK",Lambeth,Southeastern,WAE,1,1869,B, _51.5041 ,-0.1101
"Watford High Street station, London, UK",Watfordout-boundary,London Overground,WFH,8,1862,D, _51.6525 ,-0.3918
"Watford Junction station, London, UK",Watfordout-boundary,London Northwestern Railway,WFJ,W,1858,B, _51.6635 ,-0.3958
"Welling station, London, UK",Bexley,Southeastern,WLI,4,1895,C, _51.4647 ,0.1017
"Wembley Central station, London, UK",Brent,London Underground,WMB,4,1842,C, _51.5519 ,-0.2964
"Wembley Stadium station, London, UK",Brent,Chiltern Railways,WCX,4,1906,F, _51.5543 ,-0.2863
"West Brompton station, London, UK",Kensington and Chelsea,London Underground,WBP,2,1869,E, _51.4866 ,-0.1957
"Westcombe Park station, London, UK",Greenwich,Southeastern,WCB,3,1879,D, _51.4842 ,0.0187
"West Croydon station, London, UK",Croydon,London Overground,WCY,5,1839,C, _51.3785 ,-0.1020
"West Drayton station, London, UK",Hillingdon,Elizabeth line,WDT,6,1838,E, _51.5101 ,-0.4719
"West Dulwich station, London, UK",Southwark,Southeastern,WDU,3,1862,E, _51.4409 ,-0.0906
"West Ealing station, London, UK",Ealing,Elizabeth line,WEA,3,1871,E, _51.5137 ,-0.3203
"West Ham station, London, UK",Newham,London Underground,WEH,3,1901,C, _51.5284 ,0.0066
"West Hampstead station, London, UK",Camden,London Overground,WHD,2,1888,D, _51.5473 ,-0.1913
"West Hampstead Thameslink station, London, UK",Camden,Thameslink,WHP,2,1871,E, _51.54848 ,-0.1918
"West Norwood station, London, UK",Lambeth,Southern,WNW,3,1856,D, _51.4318 ,-0.1035
"West Ruislip station, London, UK",Hillingdon,Chiltern Railways,WRU,6,1906,F, _51.5696 ,-0.4376
"West Sutton station, London, UK",Sutton,Thameslink,WSU,5,1930,E, _51.3662 ,-0.2051
"West Wickham station, London, UK",Bromley,Southeastern,WWI,5,1882,D, _51.3813 ,-0.0145
"Whitechapel station, London, UK",Tower Hamlets,London Underground,ZLW,2,1876,unlisted, _51.5190 ,-0.0610
"White Hart Lane station, London, UK",Haringey,London Overground,WHL,3,1872,E, _51.6049 ,-0.0711
"Whitton station, London, UK",Richmond upon Thames,South Western Railway,WTN,5,1930,C, _51.4495 ,-0.3578
"Whyteleafe station, London, UK",Tandridgeout-boundary,Southern,WHY,6,1900,E, _51.3097 ,-0.0811
"Whyteleafe South station, London, UK",Tandridgeout-boundary,Southern,WHS,6,1856,E, _51.3034 ,-0.0768
"Willesden Junction station, London, UK",Brent,London Overground,WIJ,02-Mar,1866,C, _51.5324 ,-0.2439
"Wimbledon station, London, UK",Merton,South Western Railway,WIM,3,1838,B, _51.4232 ,-0.2043
"Wimbledon Chase station, London, UK",Merton,Thameslink,WBO,3,1930,F, _51.4095 ,-0.2142
"Winchmore Hill station, London, UK",Enfield,Great Northern,WIH,4,1871,D, _51.6341 ,-0.1013
"Woodgrange Park station, London, UK",Newham,London Overground,WGR,03-Apr,1894,E, _51.5487 ,0.0454
"Woodmansterne station, London, UK",Croydon,Southern,WME,6,1904,E, _51.3192 ,-0.1539
"Wood Street station, London, UK",Waltham Forest,London Overground,WST,4,1873,D, _51.5864 ,-0.0021
"Woolwich station, London, UK",Greenwich,Elizabeth line,WWC,2,2022,unlisted, _51.491578 ,0.0718
"Woolwich Arsenal station, London, UK",Greenwich,Southeastern,WWA,4,1849,C, _51.4898 ,0.0694
"Woolwich Dockyard station, London, UK",Greenwich,Southeastern,WWD,3,1849,E, _51.4913 ,0.0536
"Worcester Park station, London, UK",Sutton,South Western Railway,WCP,4,1859,C, _51.3804 ,-0.2412
