Borough,mean,median,min
BarkingandDagenham,1813.235294,1750,1575
Barnet,3251.66474,2925,1798
Bexley,1755.178571,1800,1200
Brent,3271,2999.5,1035
Bromley,2153.816327,2000,1350
Camden,6043.427586,5200,2350
City of London,9553.916667,11266,3748
Croydon,2124.474359,2000,1500
Ealing,3020.940299,2745,1495
Enfield,2628.921053,2025,1575
Greenwich,2598.123288,2300,1500
Hackney,4413.881356,4600,2102
HammersmithandFulham,5520.242424,4875,2350
Haringey,2925.054545,2700,1800
Harrow,2284.134615,2200,1625
Havering,1848.333333,1800,1400
Hillingdon,1921.333333,1850,1300
Hounslow,3083.367347,2850,1650
Islington,4731.455882,4000,2340
KensingtonandChelsea,9016.826087,7367,2925
KingstonuponThames,2706.047619,2500,1650
Lambeth,3649.25,3000,800
Lewisham,2595.698113,2400,1600
Merton,4232.527027,2785,1845
Newham,2980.116667,2625,1298
Redbridge,2010.326087,1900,475
RichmonduponThames,3626.265306,3250,1800
Southwark,3979.671233,3400,1850
Sutton,2207.894737,2150,1700
TowerHamlets,5077.570513,4247,1998
WalthamForest,2409.722222,2000,800
Wandsworth,6121.20438,4000,2000
Westminster,9303.589928,6717,2578
