,Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,Coordinates
39,"Broxbourne station, London, UK",Broxbourneout-boundary,Greater Anglia,BXB,B,1840,C,51°44′54″N 0°00′34″W﻿ / ﻿51.7483°N 0.0094°W
40,"Bruce Grove station, London, UK",Haringey,London Overground,BCV,3,1872,E,51°35′38″N 0°04′13″W﻿ / ﻿51.5940°N 0.0704°W
41,"Bushey station, London, UK",Watfordout-boundary,London Overground,BSH,8,1841,E,51°38′38″N 0°23′06″W﻿ / ﻿51.6440°N 0.3850°W
42,"Bush Hill Park station, London, UK",Enfield,London Overground,BHK,5,1880,D,51°38′30″N 0°04′09″W﻿ / ﻿51.6418°N 0.0691°W
43,"Caledonian Road & Barnsbury station, London, UK",Islington,London Overground,CIR,2,1850,E,51°32′36″N 0°06′52″W﻿ / ﻿51.5432°N 0.1145°W
44,"Cambridge Heath station, London, UK",Tower Hamlets,London Overground,CBH,2,1872,F,51°31′56″N 0°03′26″W﻿ / ﻿51.5321°N 0.0572°W
45,"Camden Road station, London, UK",Camden,London Overground,CMD,2,1870,D,51°32′40″N 0°08′24″W﻿ / ﻿51.5444°N 0.1401°W
46,"Canada Water station, London, UK",Southwark,London Underground,ZCW,2,1999,unlisted,51°29′54″N 0°03′00″W﻿ / ﻿51.4983°N 0.0500°W
47,"Canary Wharf station, London, UK",Tower Hamlets,Elizabeth line,CWX,2,2022,unlisted,51°30′22″N 0°00′57″W﻿ / ﻿51.5061°N 0.01578°W
48,"Cannon StreetLondon station, London, UK",City of London,Network Rail,CST,1,1866,A,51°30′36″N 0°05′28″W﻿ / ﻿51.5101°N 0.0912°W
49,"Canonbury station, London, UK",Islington,London Overground,CNN,2,1869,F,51°32′54″N 0°05′33″W﻿ / ﻿51.5482°N 0.0925°W
50,"Carpenders Park station, London, UK",Three Riversout-boundary,London Overground,CPK,7,1932,E,51°37′44″N 0°23′10″W﻿ / ﻿51.6290°N 0.3860°W
51,"Carshalton station, London, UK",Sutton,Southern,CSH,5,1868,D,51°22′07″N 0°09′57″W﻿ / ﻿51.3686°N 0.1659°W
52,"Carshalton Beeches station, London, UK",Sutton,Southern,CSB,5,1906,E,51°21′28″N 0°10′17″W﻿ / ﻿51.3577°N 0.1714°W
53,"Castle Bar Park station, London, UK",Ealing,Great Western Railway,CBP,4,1906,E,51°31′22″N 0°19′56″W﻿ / ﻿51.5228°N 0.3323°W
54,"Caterham station, London, UK",Tandridgeout-boundary,Southern,CAT,6,1856,D,51°16′56″N 0°04′42″W﻿ / ﻿51.28214°N 0.0783°W
55,"Catford station, London, UK",Lewisham,Southeastern,CTF,3,1892,D,51°26′41″N 0°01′34″W﻿ / ﻿51.4447°N 0.0261°W
56,"Catford Bridge station, London, UK",Lewisham,Southeastern,CFB,3,1857,D,51°26′41″N 0°01′30″W﻿ / ﻿51.4446°N 0.0250°W
57,"Chadwell Heath station, London, UK",Redbridge,Elizabeth line,CTH,5,1864,C,51°34′04″N 0°07′45″E﻿ / ﻿51.5678°N 0.1292°E
58,"Chafford Hundred station, London, UK",Thurrockout-boundary,c2c,CFH,G,1993,E,51°29′09″N 0°17′15″E﻿ / ﻿51.4859°N 0.2876°E
59,"Chalfont & Latimer station, London, UK",Buckinghamshireout-boundary,London Underground,CFO,8,1889,unlisted,51°40′04″N 0°33′40″W﻿ / ﻿51.6679°N 0.5610°W
60,"Charing CrossLondon station, London, UK",Westminster,Network Rail,CHX,1,1864,A,51°30′27″N 0°07′23″W﻿ / ﻿51.5075°N 0.1231°W
61,"Charlton station, London, UK",Greenwich,Southeastern,CTN,3,1849,D,51°29′12″N 0°01′52″E﻿ / ﻿51.4868°N 0.0310°E
62,"Cheam station, London, UK",Sutton,Southern,CHE,5,1844,D,51°21′22″N 0°12′53″W﻿ / ﻿51.3560°N 0.2147°W
63,"Chelsfield station, London, UK",Bromley,Southeastern,CLD,6,1868,D,51°21′23″N 0°06′27″E﻿ / ﻿51.3565°N 0.1076°E
64,"Cheshunt station, London, UK",Broxbourneout-boundary,Greater Anglia,CHN,8,1846,C,51°42′14″N 0°01′20″W﻿ / ﻿51.7039°N 0.0221°W
65,"Chessington North station, London, UK",Kingston upon Thames,South Western Railway,CSN,6,1939,D,51°21′51″N 0°18′02″W﻿ / ﻿51.3642°N 0.3005°W
66,"Chessington South station, London, UK",Kingston upon Thames,South Western Railway,CSS,6,1939,E,51°21′25″N 0°18′29″W﻿ / ﻿51.3569°N 0.3080°W
67,"Chingford station, London, UK",Waltham Forest,London Overground,CHI,5,1873,C,51°37′59″N 0°00′34″E﻿ / ﻿51.6331°N 0.0094°E
68,"Chipstead station, London, UK",Reigate and Bansteadout-boundary,Southern,CHP,6,1899,E,51°18′33″N 0°10′09″W﻿ / ﻿51.3093°N 0.1693°W
69,"Chislehurst station, London, UK",Bromley,Southeastern,CIT,5,1865,D,51°24′21″N 0°03′26″E﻿ / ﻿51.4057°N 0.0573°E
70,"Chiswick station, London, UK",Hounslow,South Western Railway,CHK,3,1849,E,51°28′53″N 0°16′06″W﻿ / ﻿51.4813°N 0.2683°W
71,"Chorleywood station, London, UK",Three Riversout-boundary,London Underground,CLW,7,1889,unlisted,51°39′15″N 0°31′06″W﻿ / ﻿51.6541°N 0.5183°W
72,"City ThameslinkLondon station, London, UK",City of London,Thameslink,CTK,1,1990,C,51°30′59″N 0°06′13″W﻿ / ﻿51.5163°N 0.1037°W
73,"Clapham High Street station, London, UK",Lambeth,London Overground,CLP,2,1866,F,51°27′57″N 0°07′58″W﻿ / ﻿51.4658°N 0.1328°W
74,"Clapham Junction station, London, UK",Wandsworth,South Western Railway,CLJ,2,1863,B,51°27′52″N 0°10′13″W﻿ / ﻿51.4644°N 0.1703°W
75,"Clapton station, London, UK",Hackney,London Overground,CPT,2/3,1873,D,51°33′42″N 0°03′26″W﻿ / ﻿51.5617°N 0.0571°W
76,"Clock House station, London, UK",Bromley,Southeastern,CLK,4,1864,D,51°24′32″N 0°02′28″W﻿ / ﻿51.4088°N 0.0411°W
77,"Coulsdon South station, London, UK",Croydon,Southern,CDS,6,1889,D,51°18′57″N 0°08′17″W﻿ / ﻿51.3157°N 0.1380°W
78,"Coulsdon Town station, London, UK",Croydon,Southern,CDN,6,1904,E,51°19′19″N 0°08′02″W﻿ / ﻿51.3219°N 0.1340°W
79,"Crayford station, London, UK",Bexley,Southeastern,CRY,6,1866,D,51°26′54″N 0°10′43″E﻿ / ﻿51.4483°N 0.1786°E
80,"Crews Hill station, London, UK",Enfield,Great Northern,CWH,6,1910,F,51°41′04″N 0°06′26″W﻿ / ﻿51.6845°N 0.1072°W
81,"Cricklewood station, London, UK",Barnet,Thameslink,CRI,3,1868,E,51°33′31″N 0°12′46″W﻿ / ﻿51.5586°N 0.2129°W
82,"Crofton Park station, London, UK",Lewisham,Southeastern,CFT,3,1892,E,51°27′18″N 0°02′12″W﻿ / ﻿51.4550°N 0.0367°W
83,"Crouch Hill station, London, UK",Islington,London Overground,CRH,3,1868,E,51°34′19″N 0°07′02″W﻿ / ﻿51.5720°N 0.1171°W
84,"Crystal Palace station, London, UK",Bromley,London Overground,CYP,3/4,1854,D,51°25′06″N 0°04′21″W﻿ / ﻿51.4182°N 0.0726°W
85,"Custom House station, London, UK",Newham,Elizabeth line,CUS,2,2022,unlisted,51°30′35″N 0°01′33″E﻿ / ﻿51.509639°N 0.025894°E
86,"Dagenham Dock station, London, UK",Barking and Dagenham,c2c,DDK,5,1908,E,51°31′36″N 0°08′42″E﻿ / ﻿51.5268°N 0.1450°E
87,"Dalston Junction station, London, UK",Hackney,London Overground,DLJ,2,2010c,unlisted,51°32′43″N 0°04′29″W﻿ / ﻿51.5453°N 0.0747°W
88,"Dalston Kingsland station, London, UK",Hackney,London Overground,DLK,2,1983,D,51°32′54″N 0°04′35″W﻿ / ﻿51.5482°N 0.0763°W
89,"Dartford station, London, UK",Dartfordout-boundary,Southeastern,DFD,8,1849,C,51°26′51″N 0°13′09″E﻿ / ﻿51.4475°N 0.2193°E
90,"Denmark Hill station, London, UK",Southwark,Thameslink,DMK,2,1866,D,51°28′06″N 0°05′22″W﻿ / ﻿51.4683°N 0.0894°W
91,"Deptford station, London, UK",Lewisham,Southeastern,DEP,2,1836,E,51°28′44″N 0°01′35″W﻿ / ﻿51.4788°N 0.0265°W
92,"Drayton Green station, London, UK",Ealing,Great Western Railway,DRG,4,1905,F,51°30′59″N 0°19′48″W﻿ / ﻿51.5165°N 0.3300°W
93,"Drayton Park station, London, UK",Islington,Great Northern,DYP,2,1904,E,51°33′10″N 0°06′20″W﻿ / ﻿51.5528°N 0.1055°W
94,"Ealing Broadway station, London, UK",Ealing,Elizabeth line,EAL,3,1838,C,51°30′53″N 0°18′06″W﻿ / ﻿51.5147°N 0.3017°W
95,"Earlsfield station, London, UK",Wandsworth,South Western Railway,EAD,3,1884,D,51°26′33″N 0°11′16″W﻿ / ﻿51.4424°N 0.1877°W
96,"East Croydon station, London, UK",Croydon,Southern,ECR,5,1841,B,51°22′31″N 0°05′35″W﻿ / ﻿51.3753°N 0.0930°W
97,"East Dulwich station, London, UK",Southwark,Southern,EDW,2,1868,E,51°27′42″N 0°04′49″W﻿ / ﻿51.4616°N 0.0804°W
98,"Eden Park station, London, UK",Bromley,Southeastern,EDN,5,1882,E,51°23′24″N 0°01′34″W﻿ / ﻿51.3900°N 0.0262°W
99,"Edmonton Green station, London, UK",Enfield,London Overground,EDR,4,1872,C,51°37′27″N 0°03′41″W﻿ / ﻿51.6242°N 0.0614°W
100,"Elephant & Castle station, London, UK",Southwark,Thameslink,EPH,1/2,1862,E,51°29′38″N 0°05′55″W﻿ / ﻿51.4938°N 0.0986°W
101,"Elmers End station, London, UK",Bromley,Southeastern,ELE,4,1864,D,51°23′53″N 0°02′59″W﻿ / ﻿51.3981°N 0.0496°W
102,"Elmstead Woods station, London, UK",Bromley,Southeastern,ESD,4,1904,D,51°25′00″N 0°02′39″E﻿ / ﻿51.4168°N 0.0441°E
