,Station,Local authority,Managed by,Stationcode,Farezone,Yearopened,Category,Coordinates
174,"Kensal Green station, London, UK",Brent,London Underground,KNL,2,1916,E,51°31′50″N 0°13′27″W﻿ / ﻿51.5306°N 0.2243°W
175,"Kensal Rise station, London, UK",Brent,London Overground,KNR,2,1873,E,51°32′04″N 0°13′13″W﻿ / ﻿51.5345°N 0.2204°W
176,"Kensington (Olympia) station, London, UK",Kensington and Chelsea,London Overground,KPA,2,1864,C,51°29′55″N 0°12′40″W﻿ / ﻿51.4985°N 0.2110°W
177,"Kent House station, London, UK",Bromley,Southeastern,KTH,4,1884,D,51°24′44″N 0°02′43″W﻿ / ﻿51.4123°N 0.0453°W
178,"Kentish Town station, London, UK",Camden,London Underground,KTN,2,1868,F,51°33′02″N 0°08′23″W﻿ / ﻿51.5505°N 0.1396°W
179,"Kentish Town West station, London, UK",Camden,London Overground,KTW,2,1860,E,51°32′48″N 0°08′48″W﻿ / ﻿51.5468°N 0.1468°W
180,"Kenton station, London, UK",Brent,London Underground,KNT,4,1912,E,51°34′54″N 0°19′00″W﻿ / ﻿51.5818°N 0.3167°W
181,"Kew Bridge station, London, UK",Hounslow,South Western Railway,KWB,3,1849,F,51°29′22″N 0°17′16″W﻿ / ﻿51.4895°N 0.2878°W
182,"Kew Gardens station, London, UK",Richmond upon Thames,London Underground,KWG,3/4,1870,D,51°28′38″N 0°17′06″W﻿ / ﻿51.4772°N 0.2849°W
183,"Kidbrooke station, London, UK",Greenwich,Southeastern,KDB,3,1895,D,51°27′44″N 0°01′38″E﻿ / ﻿51.4621°N 0.0273°E
184,"Kilburn High Road station, London, UK",Camden,London Overground,KBN,2,1852,E,51°32′14″N 0°11′33″W﻿ / ﻿51.5373°N 0.1925°W
185,"King's CrossLondon station, London, UK",Camden,Network Rail,KGX,1,1852,A,51°31′57″N 0°07′24″W﻿ / ﻿51.5324°N 0.1233°W
186,"Kingston station, London, UK",Kingston upon Thames,South Western Railway,KNG,6,1845,C,51°24′46″N 0°18′07″W﻿ / ﻿51.4129°N 0.3019°W
187,"Kingswood station, London, UK",Reigate and Bansteadout-boundary,Southern,KND,6,1897,E,51°17′42″N 0°12′40″W﻿ / ﻿51.2950°N 0.2110°W
188,"Knockholt station, London, UK",Bromley,Southeastern,KCK,6,1876,E,51°20′45″N 0°07′51″E﻿ / ﻿51.3459°N 0.1307°E
189,"Ladywell station, London, UK",Lewisham,Southeastern,LAD,3,1857,E,51°27′22″N 0°01′09″W﻿ / ﻿51.4562°N 0.0192°W
190,"Lea Bridge station, London, UK",Waltham Forest,Greater Anglia,LEB,3,2016c,unknown,51°33′59″N 0°02′12″W﻿ / ﻿51.5665°N 0.0366°W
191,"Lee station, London, UK",Lewisham,Southeastern,LEE,3,1866,D,51°26′59″N 0°00′46″E﻿ / ﻿51.4497°N 0.0128°E
192,"Lewisham station, London, UK",Lewisham,Southeastern,LEW,2/3,1849,C,51°27′57″N 0°00′51″W﻿ / ﻿51.4658°N 0.0141°W
193,"Leyton Midland Road station, London, UK",Waltham Forest,London Overground,LEM,3,1894,E,51°34′09″N 0°00′26″W﻿ / ﻿51.5693°N 0.0072°W
194,"Leytonstone High Road station, London, UK",Waltham Forest,London Overground,LER,3,1894,E,51°33′48″N 0°00′26″E﻿ / ﻿51.5634°N 0.0073°E
195,"Limehouse station, London, UK",Tower Hamlets,c2c,LHS,2,1840,E,51°30′45″N 0°02′25″W﻿ / ﻿51.5126°N 0.0402°W
196,"Liverpool StreetLondon station, London, UK",City of London,Network Rail,LST,1,1874,A,51°31′07″N 0°04′55″W﻿ / ﻿51.5185°N 0.0819°W
197,"London BridgeLondon station, London, UK",Southwark,Network Rail,LBG,1,1836,A,51°30′19″N 0°05′06″W﻿ / ﻿51.5053°N 0.0851°W
198,"London Fields station, London, UK",Hackney,London Overground,LOF,2,1872,F,51°32′27″N 0°03′28″W﻿ / ﻿51.5407°N 0.0577°W
199,"Loughborough Junction station, London, UK",Lambeth,Thameslink,LGJ,2,1864,E,51°27′58″N 0°06′07″W﻿ / ﻿51.4661°N 0.1020°W
200,"Lower Sydenham station, London, UK",Lewisham,Southeastern,LSY,4,1857,E,51°25′28″N 0°02′01″W﻿ / ﻿51.4245°N 0.0336°W
201,"Malden Manor station, London, UK",Kingston upon Thames,South Western Railway,MAL,4,1938,E,51°23′05″N 0°15′42″W﻿ / ﻿51.3847°N 0.2618°W
202,"Manor Park station, London, UK",Newham,Elizabeth line,MNP,3/4,1872,C,51°33′09″N 0°02′47″E﻿ / ﻿51.5526°N 0.0463°E
203,"Maryland station, London, UK",Newham,Elizabeth line,MYL,3,1874,D,51°32′46″N 0°00′21″E﻿ / ﻿51.5460°N 0.0059°E
204,"Meridian Water station, London, UK",Enfield,Greater Anglia,MRW,4,2019,??,51°36′30″N 0°03′03″W﻿ / ﻿51.6083°N 0.0509°W
205,"MaryleboneLondon station, London, UK",Westminster,Chiltern Railways,MYB,1,1899,A,51°31′23″N 0°09′47″W﻿ / ﻿51.5231°N 0.1630°W
206,"Maze Hill station, London, UK",Greenwich,Southeastern,MZH,3,1873,D,51°28′59″N 0°00′12″E﻿ / ﻿51.4830°N 0.0032°E
207,"Mill Hill Broadway station, London, UK",Barnet,Thameslink,MIL,4,1868,D,51°36′46″N 0°14′57″W﻿ / ﻿51.6128°N 0.2491°W
208,"Mitcham Eastfields station, London, UK",Merton,Southern,MTC,3,2008,E,51°24′28″N 0°09′17″W﻿ / ﻿51.4077°N 0.1547°W
209,"Mitcham Junction station, London, UK",Merton,Southern,MIJ,4,1868,E,51°23′35″N 0°09′27″W﻿ / ﻿51.3930°N 0.1576°W
210,"MoorgateLondon station, London, UK",City of London,London Underground,MOG,1,1865,E,51°31′07″N 0°05′23″W﻿ / ﻿51.5187°N 0.0896°W
211,"Morden South station, London, UK",Merton,Thameslink,MDS,4,1930,F,51°23′47″N 0°11′56″W﻿ / ﻿51.3965°N 0.1990°W
212,"Mortlake station, London, UK",Richmond upon Thames,South Western Railway,MTL,3,1846,C,51°28′06″N 0°16′02″W﻿ / ﻿51.4682°N 0.2672°W
213,"Motspur Park station, London, UK",Merton,South Western Railway,MOT,4,1938,C,51°23′45″N 0°14′23″W﻿ / ﻿51.3958°N 0.2397°W
214,"Mottingham station, London, UK",Greenwich,Southeastern,MTG,4,1866,D,51°26′24″N 0°03′01″E﻿ / ﻿51.4401°N 0.0504°E
215,"New Barnet station, London, UK",Barnet,Great Northern,NBA,5,1857,D,51°38′56″N 0°10′26″W﻿ / ﻿51.6488°N 0.1738°W
216,"New Beckenham station, London, UK",Bromley,Southeastern,NBC,4,1857,E,51°24′59″N 0°02′05″W﻿ / ﻿51.4164°N 0.0348°W
217,"New Cross station, London, UK",Lewisham,Southeastern,NWX,2,1850,C,51°28′34″N 0°01′57″W﻿ / ﻿51.4760°N 0.0325°W
218,"New Cross Gate station, London, UK",Lewisham,London Overground,NXG,2,1839,C,51°28′31″N 0°02′26″W﻿ / ﻿51.4752°N 0.0406°W
219,"New Eltham station, London, UK",Greenwich,Southeastern,NEH,4,1878,C,51°26′17″N 0°04′14″E﻿ / ﻿51.4380°N 0.0705°E
220,"New Malden station, London, UK",Kingston upon Thames,South Western Railway,NEM,4,1838,C,51°24′14″N 0°15′22″W﻿ / ﻿51.4039°N 0.2560°W
221,"New Southgate station, London, UK",Barnet,Great Northern,NSG,4,1850,E,51°36′51″N 0°08′36″W﻿ / ﻿51.6142°N 0.1432°W
222,"Norbiton station, London, UK",Kingston upon Thames,South Western Railway,NBT,5,1869,C,51°24′45″N 0°17′02″W﻿ / ﻿51.4124°N 0.2838°W
223,"Norbury station, London, UK",Croydon,Southern,NRB,3,1878,C,51°24′41″N 0°07′17″W﻿ / ﻿51.4114°N 0.1214°W
224,"North Dulwich station, London, UK",Southwark,Southern,NDL,2/3,1868,E,51°27′15″N 0°05′19″W﻿ / ﻿51.4543°N 0.0887°W
225,"Northolt Park station, London, UK",Ealing,Chiltern Railways,NLT,5,1926,E,51°33′27″N 0°21′34″W﻿ / ﻿51.5574°N 0.3595°W
226,"North Sheen station, London, UK",Richmond upon Thames,South Western Railway,NSH,3,1930,E,51°27′56″N 0°17′11″W﻿ / ﻿51.4656°N 0.2865°W
227,"Northumberland Park station, London, UK",Haringey,Greater Anglia,NUM,3,1840,E,51°35′55″N 0°03′18″W﻿ / ﻿51.5986°N 0.0551°W
228,"North Wembley station, London, UK",Brent,London Underground,NWB,4,1912,E,51°33′46″N 0°18′14″W﻿ / ﻿51.5627°N 0.3040°W
229,"Norwood Junction station, London, UK",Croydon,London Overground,NWD,4,1841,C,51°23′50″N 0°04′30″W﻿ / ﻿51.3971°N 0.0749°W
230,"Nunhead station, London, UK",Southwark,Southeastern,NHD,2,1865,E,51°28′02″N 0°03′10″W﻿ / ﻿51.4671°N 0.0527°W
231,"Oakleigh Park station, London, UK",Barnet,Great Northern,OKL,4,1873,D,51°38′16″N 0°10′00″W﻿ / ﻿51.6379°N 0.1667°W
232,"Ockendon station, London, UK",Thurrockout-boundary,c2c,OCK,G,1892,E,51°31′12″N 0°17′24″E﻿ / ﻿51.5200°N 0.2900°E
233,"Old StreetLondon station, London, UK",Islington,London Underground,OLD,1,1901,E,51°31′33″N 0°05′06″W﻿ / ﻿51.5258°N 0.0850°W
234,"Orpington station, London, UK",Bromley,Southeastern,ORP,6,1868,C,51°22′27″N 0°05′19″E﻿ / ﻿51.3741°N 0.0885°E
235,"PaddingtonLondon station, London, UK",Westminster,Network Rail,PAD,1,1838,A,51°31′02″N 0°10′37″W﻿ / ﻿51.5171°N 0.1769°W
236,"Palmers Green station, London, UK",Enfield,Great Northern,PAL,4,1871,C,51°37′06″N 0°06′37″W﻿ / ﻿51.6184°N 0.1102°W
237,"Peckham Rye station, London, UK",Southwark,Southern,PMR,2,1864,D,51°28′12″N 0°04′09″W﻿ / ﻿51.4701°N 0.0691°W
238,"Penge East station, London, UK",Bromley,Southeastern,PNE,4,1862,D,51°25′09″N 0°03′13″W﻿ / ﻿51.4191°N 0.0537°W
239,"Penge West station, London, UK",Bromley,London Overground,PNW,4,1839,E,51°25′03″N 0°03′38″W﻿ / ﻿51.4174°N 0.0606°W
240,"Petts Wood station, London, UK",Bromley,Southeastern,PET,5,1928,C,51°23′20″N 0°04′27″E﻿ / ﻿51.3889°N 0.0742°E
241,"Plumstead station, London, UK",Greenwich,Southeastern,PLU,4,1849,D,51°29′23″N 0°05′04″E﻿ / ﻿51.4897°N 0.0844°E
242,"Ponders End station, London, UK",Enfield,Greater Anglia,PON,5,1840,C,51°38′31″N 0°02′06″W﻿ / ﻿51.6420°N 0.0349°W
243,"Purfleet station, London, UK",Thurrockout-boundary,c2c,PFL,G,1854,D,51°28′52″N 0°14′13″E﻿ / ﻿51.4810°N 0.2370°E
244,"Purley station, London, UK",Croydon,Southern,PUR,6,1841,C,51°20′16″N 0°06′49″W﻿ / ﻿51.3377°N 0.1135°W
245,"Purley Oaks station, London, UK",Croydon,Southern,PUO,6,1899,D,51°20′49″N 0°05′55″W﻿ / ﻿51.3469°N 0.0987°W
246,"Putney station, London, UK",Wandsworth,South Western Railway,PUT,2/3,1844,C,51°27′40″N 0°12′58″W﻿ / ﻿51.4611°N 0.2162°W
247,"Queen's Park station, London, UK",Brent,London Underground,QPW,2,1879,C,51°32′03″N 0°12′19″W﻿ / ﻿51.5341°N 0.2053°W
248,"Queens Road Peckham station, London, UK",Southwark,Southern,QRP,2,1866,E,51°28′25″N 0°03′26″W﻿ / ﻿51.4736°N 0.0573°W
249,"Queenstown Road (Battersea) station, London, UK",Wandsworth,South Western Railway,QRB,2,1877,F,51°28′29″N 0°08′49″W﻿ / ﻿51.4748°N 0.1470°W
250,"Rainham station, London, UK",Havering,c2c,RNM,6,1854,C,51°31′01″N 0°11′26″E﻿ / ﻿51.5169°N 0.1905°E
251,"Ravensbourne station, London, UK",Bromley,Southeastern,RVB,4,1892,E,51°24′51″N 0°00′27″W﻿ / ﻿51.4141°N 0.0075°W
252,"Raynes Park station, London, UK",Merton,South Western Railway,RAY,4,1838,C,51°24′34″N 0°13′48″W﻿ / ﻿51.4094°N 0.2299°W
253,"Rectory Road station, London, UK",Hackney,London Overground,REC,2,1872,E,51°33′30″N 0°04′05″W﻿ / ﻿51.5584°N 0.0681°W
254,"Reedham station, London, UK",Croydon,Southern,RHM,6,1911,E,51°19′53″N 0°07′24″W﻿ / ﻿51.3313°N 0.1233°W
255,"Richmond station, London, UK",Richmond upon Thames,South Western Railway,RMD,4,1846,B,51°27′47″N 0°18′05″W﻿ / ﻿51.4630°N 0.3014°W
256,"Rickmansworth station, London, UK",Three Riversout-boundary,London Underground,RIC,7,1887,unlisted,51°38′25″N 0°28′24″W﻿ / ﻿51.6402°N 0.4733°W
257,"Riddlesdown station, London, UK",Croydon,Southern,RDD,6,1927,E,51°19′56″N 0°05′59″W﻿ / ﻿51.3323°N 0.0996°W
258,"Romford station, London, UK",Havering,Elizabeth line,RMF,6,1839,C,51°34′30″N 0°10′58″E﻿ / ﻿51.5749°N 0.1827°E
259,"Rotherhithe station, London, UK",Southwark,London Overground,ROE,2,1869,unlisted,51°30′03″N 0°03′08″W﻿ / ﻿51.5008°N 0.0522°W
260,"St Helier station, London, UK",Merton,Thameslink,SIH,4,1930,F,51°23′24″N 0°11′55″W﻿ / ﻿51.3901°N 0.1985°W
261,"St James Street station, London, UK",Waltham Forest,London Overground,SJS,3,1870,D,51°34′52″N 0°01′56″W﻿ / ﻿51.5810°N 0.0323°W
262,"St Johns station, London, UK",Lewisham,Southeastern,SAJ,2,1849,E,51°28′09″N 0°01′21″W﻿ / ﻿51.4691°N 0.0225°W
263,"St Margarets station, London, UK",Richmond upon Thames,South Western Railway,SMG,4,1876,C,51°27′18″N 0°19′13″W﻿ / ﻿51.4550°N 0.3204°W
264,"St Mary Cray station, London, UK",Bromley,Southeastern,SMY,6,1858,C,51°23′41″N 0°06′21″E﻿ / ﻿51.3947°N 0.1058°E
265,"St PancrasLondon station, London, UK",Camden,Network Rail/Eurostar,STP,1,1868,A/Cd,51°31′53″N 0°07′34″W﻿ / ﻿51.5314°N 0.1261°W
266,"Sanderstead station, London, UK",Croydon,Southern,SNR,6,1884,D,51°20′54″N 0°05′38″W﻿ / ﻿51.3484°N 0.0940°W
267,"Selhurst station, London, UK",Croydon,Southern,SRS,4,1865,D,51°23′32″N 0°05′18″W﻿ / ﻿51.3921°N 0.0883°W
268,"Seven Kings station, London, UK",Redbridge,Elizabeth line,SVK,4,1899,C,51°33′49″N 0°05′49″E﻿ / ﻿51.5635°N 0.0969°E
269,"Seven Sisters station, London, UK",Haringey,London Overground,SVS,3,1872,D,51°35′02″N 0°04′32″W﻿ / ﻿51.5839°N 0.0756°W
270,"Shadwell station, London, UK",Tower Hamlets,London Overground,SDE,2,1876,unlisted,51°30′40″N 0°03′25″W﻿ / ﻿51.5112°N 0.0569°W
271,"Shenfield station, London, UK",Brentwoodout-boundary,Greater Anglia,SNF,B,1843,B,51°37′59″N 0°19′58″E﻿ / ﻿51.6331°N 0.3328°E
272,"Shepherd's Bush station, London, UK",Hammersmith and Fulham,London Overground,SPB,2,2008,D,51°30′18″N 0°13′03″W﻿ / ﻿51.5051°N 0.2175°W
273,"Shoreditch High Street station, London, UK",Hackney,London Overground,SDC,1,2010,unlisted,51°31′24″N 0°04′36″W﻿ / ﻿51.5234°N 0.0768°W
274,"Shortlands station, London, UK",Bromley,Southeastern,SRT,4,1858,D,51°24′21″N 0°00′07″E﻿ / ﻿51.4058°N 0.0019°E
275,"Sidcup station, London, UK",Bexley,Southeastern,SID,5,1866,C,51°26′02″N 0°06′14″E﻿ / ﻿51.4338°N 0.1040°E
276,"Silver Street station, London, UK",Enfield,London Overground,SLV,4,1872,D,51°36′54″N 0°04′03″W﻿ / ﻿51.6149°N 0.0676°W
277,"Slade Green station, London, UK",Bexley,Southeastern,SGR,6,1866,E,51°28′04″N 0°11′25″E﻿ / ﻿51.4678°N 0.1904°E
278,"South Acton station, London, UK",Ealing,London Overground,SAT,3,1880,E,51°29′58″N 0°16′15″W﻿ / ﻿51.4994°N 0.2707°W
279,"Southall station, London, UK",Ealing,Elizabeth line,STL,4,1839,D,51°30′22″N 0°22′42″W﻿ / ﻿51.5060°N 0.3783°W
280,"South Bermondsey station, London, UK",Southwark,Southern,SBM,2,1866,E,51°29′19″N 0°03′17″W﻿ / ﻿51.4887°N 0.0548°W
281,"Southbury station, London, UK",Enfield,London Overground,SBU,5,1891,E,51°38′56″N 0°03′09″W﻿ / ﻿51.6488°N 0.0524°W
282,"South Croydon station, London, UK",Croydon,Southern,SCY,5,1865,D,51°21′46″N 0°05′36″W﻿ / ﻿51.3629°N 0.0933°W
283,"South Greenford station, London, UK",Ealing,Great Western Railway,SGN,4,1903,F,51°32′03″N 0°20′13″W﻿ / ﻿51.5342°N 0.3369°W
284,"South Hampstead station, London, UK",Camden,London Overground,SOH,2,1879,E,51°32′29″N 0°10′44″W﻿ / ﻿51.5414°N 0.1788°W
285,"South Kenton station, London, UK",Brent,London Underground,SOK,4,1933,E,51°34′13″N 0°18′31″W﻿ / ﻿51.5703°N 0.3086°W
286,"South Merton station, London, UK",Merton,Thameslink,SMO,4,1930,F,51°24′11″N 0°12′22″W﻿ / ﻿51.4030°N 0.2062°W
287,"South Ruislip station, London, UK",Hillingdon,Chiltern Railways,SRU,5,1908,F,51°33′25″N 0°23′56″W﻿ / ﻿51.5569°N 0.3988°W
288,"South Tottenham station, London, UK",Haringey,London Overground,STO,3,1871,E,51°34′49″N 0°04′19″W﻿ / ﻿51.5802°N 0.0720°W
289,"Stamford Hill station, London, UK",Haringey,London Overground,SMH,3,1872,E,51°34′30″N 0°04′34″W﻿ / ﻿51.5749°N 0.0761°W
290,"Stoke Newington station, London, UK",Hackney,London Overground,SKW,2,1872,E,51°33′54″N 0°04′22″W﻿ / ﻿51.5651°N 0.0727°W
291,"Stonebridge Park station, London, UK",Brent,London Underground,SBP,3,1912,D,51°32′38″N 0°16′31″W﻿ / ﻿51.5440°N 0.2754°W
292,"Stoneleigh station, London, UK",Epsom and Ewellout-boundary,South Western Railway,SNL,5,1932,C,51°21′49″N 0°14′55″W﻿ / ﻿51.3637°N 0.2487°W
293,"Stratford station, London, UK",Newham,Elizabeth line,SRA,3,1839,B,51°32′30″N 0°00′13″W﻿ / ﻿51.5417°N 0.0037°W
294,"Stratford International station, London, UK",Newham,Southeastern,SFA,3,2009,unlisted,51°32′41″N 0°00′31″W﻿ / ﻿51.5448°N 0.0087°W
295,"Strawberry Hill station, London, UK",Richmond upon Thames,South Western Railway,STW,5,1873,C,51°26′20″N 0°20′20″W﻿ / ﻿51.4389°N 0.3388°W
296,"Streatham station, London, UK",Lambeth,Southern,STE,3,1856,D,51°25′34″N 0°07′52″W﻿ / ﻿51.4260°N 0.1311°W
297,"Streatham Common station, London, UK",Lambeth,Southern,SRC,3,1862,C,51°25′07″N 0°08′09″W﻿ / ﻿51.4187°N 0.1359°W
298,"Streatham Hill station, London, UK",Lambeth,Southern,SRH,3,1856,C,51°26′17″N 0°07′38″W﻿ / ﻿51.4380°N 0.1271°W
299,"Sudbury & Harrow Road station, London, UK",Brent,Chiltern Railways,SUD,4,1910,F,51°33′14″N 0°19′00″W﻿ / ﻿51.5540°N 0.3167°W
300,"Sudbury Hill Harrow station, London, UK",Harrow,Chiltern Railways,SDH,4,1910,F,51°33′32″N 0°20′09″W﻿ / ﻿51.5589°N 0.3358°W
301,"Sundridge Park station, London, UK",Bromley,Southeastern,SUP,4,1878,E,51°24′49″N 0°01′20″E﻿ / ﻿51.4137°N 0.0221°E
302,"Surbiton station, London, UK",Kingston upon Thames,South Western Railway,SUR,6,1838,B,51°23′33″N 0°18′16″W﻿ / ﻿51.3926°N 0.3044°W
303,"Surrey Quays station, London, UK",Southwark,London Overground,SQE,2,1884,unlisted,51°29′36″N 0°02′52″W﻿ / ﻿51.4933°N 0.0477°W
304,"Sutton station, London, UK",Sutton,Southern,SUO,5,1847,C,51°21′36″N 0°11′25″W﻿ / ﻿51.3601°N 0.1903°W
305,"Sutton Common station, London, UK",Sutton,Thameslink,SUC,4,1930,F,51°22′30″N 0°11′47″W﻿ / ﻿51.3751°N 0.1964°W
306,"Swanley station, London, UK",Sevenoaksout-boundary,Southeastern,SAY,8,1862,C,51°23′36″N 0°10′08″E﻿ / ﻿51.3934°N 0.1690°E
307,"Sydenham station, London, UK",Lewisham,London Overground,SYD,3,1839,D,51°25′36″N 0°03′16″W﻿ / ﻿51.4268°N 0.0545°W
308,"Sydenham Hill station, London, UK",Southwark,Southeastern,SYH,3,1862,E,51°25′57″N 0°04′49″W﻿ / ﻿51.4326°N 0.0802°W
309,"Syon Lane station, London, UK",Hounslow,South Western Railway,SYL,4,1925,F,51°28′54″N 0°19′29″W﻿ / ﻿51.4818°N 0.3248°W
310,"Tadworth station, London, UK",Reigate and Bansteadout-boundary,Southern,TAD,6,1900,E,51°17′31″N 0°14′10″W﻿ / ﻿51.2920°N 0.2360°W
311,"Tattenham Corner station, London, UK",Reigate and Bansteadout-boundary,Southern,TAT,6,1901,E,51°18′33″N 0°14′33″W﻿ / ﻿51.3092°N 0.2426°W
312,"Teddington station, London, UK",Richmond upon Thames,South Western Railway,TED,6,1864,C,51°25′29″N 0°19′57″W﻿ / ﻿51.4247°N 0.3325°W
313,"Thames Ditton station, London, UK",Elmbridgeout-boundary,South Western Railway,THD,6,1849,D,51°23′19″N 0°20′18″W﻿ / ﻿51.3886°N 0.3383°W
314,"Theobalds Grove station, London, UK",Broxbourneout-boundary,London Overground,TEO,7,1891,D,51°41′37″N 0°01′58″W﻿ / ﻿51.6937°N 0.0327°W
315,"Thornton Heath station, London, UK",Croydon,Southern,TTH,4,1862,C,51°23′55″N 0°06′01″W﻿ / ﻿51.3985°N 0.1004°W
316,"Tolworth station, London, UK",Kingston upon Thames,South Western Railway,TOL,5,1938,E,51°22′38″N 0°16′45″W﻿ / ﻿51.3771°N 0.2793°W
317,"Tooting station, London, UK",Merton,Thameslink,TOO,3,1868,E,51°25′11″N 0°09′37″W﻿ / ﻿51.4196°N 0.1603°W
318,"Tottenham Court Road station, London, UK",Camden,Elizabeth line,TCR,2,2022,unlisted,51°30′58″N 0°07′51″W﻿ / ﻿51.5162°N 0.1309°W
319,"Tottenham Hale station, London, UK",Haringey,Greater Anglia,TOM,3,1840,D,51°35′25″N 0°03′40″W﻿ / ﻿51.5902°N 0.0611°W
320,"Tulse Hill station, London, UK",Lambeth,Southern,TUH,3,1868,D,51°26′24″N 0°06′18″W﻿ / ﻿51.4399°N 0.1049°W
321,"Turkey Street station, London, UK",Enfield,London Overground,TUR,6,1891,E,51°40′21″N 0°02′51″W﻿ / ﻿51.6725°N 0.0474°W
322,"Twickenham station, London, UK",Richmond upon Thames,South Western Railway,TWI,5,1848,C,51°27′01″N 0°19′47″W﻿ / ﻿51.4504°N 0.3296°W
323,"Upminster station, London, UK",Havering,c2c,UPM,6,1885,C,51°33′32″N 0°15′03″E﻿ / ﻿51.5588°N 0.2509°E
324,"Upper Holloway station, London, UK",Islington,London Overground,UHL,2,1868,E,51°33′50″N 0°07′47″W﻿ / ﻿51.5638°N 0.1298°W
325,"Upper Warlingham station, London, UK",Tandridgeout-boundary,Southern,UWL,6,1884,D,51°18′31″N 0°04′41″W﻿ / ﻿51.3085°N 0.0780°W
326,"VauxhallLondon station, London, UK",Lambeth,South Western Railway,VXH,1/2,1848,B,51°29′09″N 0°07′22″W﻿ / ﻿51.4859°N 0.1229°W
327,"VictoriaLondon station, London, UK",Westminster,Network Rail,VIC,1,1862,A,51°29′48″N 0°08′41″W﻿ / ﻿51.4966°N 0.1448°W
328,"Waddon station, London, UK",Croydon,Southern,WDO,5,1847,D,51°22′03″N 0°07′01″W﻿ / ﻿51.3674°N 0.1170°W
329,"Wallington station, London, UK",Sutton,Southern,WLT,5,1847,C,51°21′33″N 0°09′12″W﻿ / ﻿51.3592°N 0.1533°W
330,"Waltham Cross station, London, UK",Broxbourneout-boundary,Greater Anglia,WLC,7,1842,E,51°41′06″N 0°01′36″W﻿ / ﻿51.6851°N 0.0266°W
331,"Walthamstow Central station, London, UK",Waltham Forest,London Overground,WHC,3,1869,C,51°34′59″N 0°01′09″W﻿ / ﻿51.5831°N 0.0192°W
332,"Walthamstow Queen's Road station, London, UK",Waltham Forest,London Overground,WMW,3,1894,E,51°34′54″N 0°01′26″W﻿ / ﻿51.5817°N 0.0240°W
333,"Wandsworth Common station, London, UK",Wandsworth,Southern,WSW,3,1895,D,51°26′47″N 0°09′49″W﻿ / ﻿51.4464°N 0.1635°W
334,"Wandsworth Road station, London, UK",[[Lambeth]],London Overground,WWR,2,1863,F,51°28′13″N 0°08′20″W﻿ / ﻿51.4702°N 0.1390°W
335,"Wandsworth Town station, London, UK",Wandsworth,South Western Railway,WNT,2,1846,C,51°27′40″N 0°11′16″W﻿ / ﻿51.4610°N 0.1879°W
336,"Wanstead Park station, London, UK",Newham,London Overground,WNP,3,1894,E,51°33′06″N 0°01′35″E﻿ / ﻿51.5518°N 0.0264°E
337,"Wapping station, London, UK",Tower Hamlets,London Overground,WPE,2,1869,unlisted,51°30′16″N 0°03′21″W﻿ / ﻿51.5044°N 0.0558°W
338,"WaterlooLondon station, London, UK",Lambeth,Network Rail,WAT,1,1848,A,51°30′11″N 0°06′48″W﻿ / ﻿51.5031°N 0.1132°W
339,"Waterloo EastLondon station, London, UK",Lambeth,Southeastern,WAE,1,1869,B,51°30′15″N 0°06′36″W﻿ / ﻿51.5041°N 0.1101°W
340,"Watford High Street station, London, UK",Watfordout-boundary,London Overground,WFH,8,1862,D,51°39′09″N 0°23′30″W﻿ / ﻿51.6525°N 0.3918°W
341,"Watford Junction station, London, UK",Watfordout-boundary,London Northwestern Railway,WFJ,W,1858,B,51°39′49″N 0°23′45″W﻿ / ﻿51.6635°N 0.3958°W
342,"Welling station, London, UK",Bexley,Southeastern,WLI,4,1895,C,51°27′53″N 0°06′06″E﻿ / ﻿51.4647°N 0.1017°E
343,"Wembley Central station, London, UK",Brent,London Underground,WMB,4,1842,C,51°33′07″N 0°17′47″W﻿ / ﻿51.5519°N 0.2964°W
344,"Wembley Stadium station, London, UK",Brent,Chiltern Railways,WCX,4,1906,F,51°33′15″N 0°17′11″W﻿ / ﻿51.5543°N 0.2863°W
345,"West Brompton station, London, UK",Kensington and Chelsea,London Underground,WBP,2,1869,E,51°29′12″N 0°11′45″W﻿ / ﻿51.4866°N 0.1957°W
346,"Westcombe Park station, London, UK",Greenwich,Southeastern,WCB,3,1879,D,51°29′03″N 0°01′07″E﻿ / ﻿51.4842°N 0.0187°E
347,"West Croydon station, London, UK",Croydon,London Overground,WCY,5,1839,C,51°22′43″N 0°06′07″W﻿ / ﻿51.3785°N 0.1020°W
348,"West Drayton station, London, UK",Hillingdon,Elizabeth line,WDT,6,1838,E,51°30′36″N 0°28′19″W﻿ / ﻿51.5101°N 0.4719°W
349,"West Dulwich station, London, UK",Southwark,Southeastern,WDU,3,1862,E,51°26′27″N 0°05′26″W﻿ / ﻿51.4409°N 0.0906°W
350,"West Ealing station, London, UK",Ealing,Elizabeth line,WEA,3,1871,E,51°30′49″N 0°19′13″W﻿ / ﻿51.5137°N 0.3203°W
351,"West Ham station, London, UK",Newham,London Underground,WEH,3,1901,C,51°31′42″N 0°00′24″E﻿ / ﻿51.5284°N 0.0066°E
352,"West Hampstead station, London, UK",Camden,London Overground,WHD,2,1888,D,51°32′50″N 0°11′29″W﻿ / ﻿51.5473°N 0.1913°W
353,"West Hampstead Thameslink station, London, UK",Camden,Thameslink,WHP,2,1871,E,51°32′55″N 0°11′31″W﻿ / ﻿51.54848°N 0.19183°W
