Borough,mean,median,min
BarkingandDagenham,1752.5,1475,1250
Barnet,2271.97619,1950,1300
Bexley,1439.047619,1450,1100
Brent,2265.420561,2200,1450
Bromley,1682.066667,1550,1300
Camden,4447.419255,3510,1650
City of London,5896.416667,6350,2574
Croydon,3036.236111,1600,1150
Ealing,2252.402235,2200,690
Enfield,1819.877193,1600,1325
Greenwich,2184.680851,2195,1275
Hackney,2925.830645,2753.5,1600
HammersmithandFulham,3952.54,3596,1700
Haringey,2437.991304,2300,1350
Harrow,1761.142857,1625,775
Havering,1645.35,1500,1195
Hillingdon,1581.854839,1537.5,1250
Hounslow,2446.414966,2349,1200
Islington,3191.89441,2817,1750
KensingtonandChelsea,5296.352645,4333,2100
KingstonuponThames,1944.54023,1750,1400
Lambeth,2837.515152,2400,960
Lewisham,1963.081633,1813.5,1350
Merton,2441.664179,2250,1350
Newham,2550.921569,2300,1400
Redbridge,1569.780488,1499,1250
RichmonduponThames,3033.816216,2300,1425
Southwark,3090.320388,2800,1550
Sutton,1705.037736,1600,1150
TowerHamlets,3524.891192,3250,500
WalthamForest,1977.5,1700,1300
Wandsworth,3360.85422,3000,1675
Westminster,5425.201342,4767,1800
